品詞,見出し語要素,一般語彙ランク
名詞-普通名詞-一般,渦,5897
名詞-普通名詞-一般,崖,5906
名詞-普通名詞-一般,鞭,6202
名詞-普通名詞-一般,兄貴,5653
名詞-普通名詞-一般,頭上,5836
名詞-普通名詞-一般,牧場,5899
名詞-普通名詞-サ変可能,隠居,5806
名詞-普通名詞-形状詞可能,小柄,5797
名詞-普通名詞-一般,鎖,6349
名詞-普通名詞-一般,脳裏,6028
名詞-普通名詞-一般,殺し,5901
名詞-普通名詞-一般,笑み,5488
名詞-普通名詞-一般,叫び,6244
名詞-普通名詞-一般,口元,5706
名詞-普通名詞-一般,咄嗟,5859
名詞-普通名詞-一般,船長,6229
名詞-普通名詞-一般,日差し,6039
名詞-普通名詞-一般,拳銃,5804
名詞-普通名詞-一般,長屋,6053
名詞-普通名詞-一般,頼み,6295
名詞-普通名詞-一般,酔い,5956
名詞-普通名詞-一般,御所,6365
名詞-普通名詞-一般,一息,6325
名詞-普通名詞-一般,向こう側,6456
名詞-普通名詞-一般,包み,6269
名詞-普通名詞-一般,落ち着き,6301
名詞-普通名詞-一般,受話,5888
名詞-普通名詞-サ変可能,困惑,6245
名詞-普通名詞-一般,人差し,6259
名詞-普通名詞-一般,心地,6335
名詞-普通名詞-一般,洞窟,6258
名詞-普通名詞-一般,巡査,6842
名詞-普通名詞-一般,幽霊,6104
名詞-普通名詞-一般,毛布,6182
名詞-普通名詞-一般,人目,6476
名詞-普通名詞-一般,襤褸,6247
名詞-普通名詞-一般,絨毯,6310
名詞-普通名詞-一般,家来,6626
名詞-普通名詞-一般,金色,6448
名詞-普通名詞-サ変可能,思案,6250
名詞-普通名詞-一般,中庭,6895
名詞-普通名詞-一般,宙,6394
名詞-普通名詞-一般,寝台,6533
名詞-普通名詞-サ変可能,誘拐,6287
名詞-普通名詞-一般,足取り,6559
名詞-普通名詞-一般,小僧,6474
名詞-普通名詞-一般,海面,6861
名詞-固有名詞-地名-一般,ホンゴウ,6824
名詞-普通名詞-一般,笛,6745
名詞-普通名詞-一般,太刀,6404
名詞-普通名詞-一般,魔,6428
名詞-普通名詞-一般,鈴,6954
名詞-普通名詞-一般,襖,6524
名詞-普通名詞-一般,ミサ,6602
名詞-普通名詞-一般,造作,7013
名詞-普通名詞-一般,サム,6420
名詞-普通名詞-サ変可能,唾,6440
名詞-普通名詞-一般,罠,6660
名詞-普通名詞-一般,後ろ姿,6771
名詞-普通名詞-一般,焼け,6921
名詞-普通名詞-一般,大尉,7151
名詞-普通名詞-一般,大金,6566
名詞-普通名詞-一般,ツリー,7191
名詞-普通名詞-一般,待ち合い,7060
